2021-10-10 21:48:36.560Z,18.8203333333333,-155.527166666667,35.06,6.21,ml,54,278,,0.12,hv,hv72748782,2022-09-04 21:58:47.379Z,"27 km SSE of Naalehu, Hawaii",ear hquake,0.52,0.93,0.153984707746698,25,reviewed,hv,hv
2021-10-09 10:58:31.956Z,-21.1889,174.5221,535,6.9,mww,,31,4.778,0.64,us,us6000f 9g,2021-12-18 19:58:42.040Z,"Vanua u region",ear hquake,9.7,1.9,0.05,38,reviewed,us,us
2021-10-04 03:54:06.823Z,-60.4157,-27.5186,10,6.2,mww,,30,7.825,0.93,us,us6000frfw,2021-12-10 21:14:06.040Z,"Sou h Sandwich Islands region",ear hquake,8,1.7,0.048,41,reviewed,us,us
2021-10-02 20:43:39.504Z,-9.1778,67.2614,10,6,mww,,36,5.377,0.8,us,us6000fr5 ,2021-12-10 21:14:03.040Z,"Mid-Indian Ridge",ear hquake,8.1,1.7,0.073,18,reviewed,us,us
2021-10-02 06:29:17.897Z,-21.1265,174.8958,527,7.3,mww,,32,4.493,0.67,us,us6000fr0b,2021-12-10 21:14:02.040Z,"Vanua u region",ear hquake,9.7,1.9,0.039,64,reviewed,us,us
2021-09-29 08:37:05.619Z,38.8893,135.4527,364,6.1,mww,,13,3.198,0.82,us,us6000fq2d,2021-12-04 14:27:57.040Z,"243 km NNW of Nanao, Japan",ear hquake,7.2,1.9,0.05,38,reviewed,us,us
2021-09-27 06:17:21.478Z,35.244,25.2697,6,6,mww,,19,0.313,0.47,us,us7000fes8,2022-01-08 16:08:44.480Z,"6 km N of  hrapsanÃ³n, Greece",ear hquake,5,1.8,0.043,51,reviewed,us,us
2021-09-24 11:52:28.163Z,51.0829,-179.0153,18,6.1,mww,,52,0.487,0.89,us,us7000fe1w,2022-09-02 12:02:31.647Z,"187 km WSW of Adak, Alaska",ear hquake,4.2,1.8,0.044,49,reviewed,us,us
2021-09-22 09:57:07.023Z,12.1396,-87.8647,21,6.5,mww,,114,0.993,1.07,us,us7000fdds,2022-04-21 07:59:20.662Z,"80 km SW of Jiquilillo, Nicaragua",ear hquake,5,1.9,0.035,80,reviewed,us,us
2021-09-21 13:14:32.025Z,-36.7771,-73.9329,18.8,6.4,mww,,110,2.14,0.7,us,us7000fd4k,2021-12-07 15:14:16.474Z,"73 km W of  alcahuano, Chile",ear hquake,6.2,3,0.043,52,reviewed,us,us
